article,Tipo,XYZ
TRADITIONAL BAGUETTE,A,Z
FORMULE SANDWICH,A,Z
CROISSANT,A,Z
PAIN AU CHOCOLAT,A,Z
BANETTE,A,Z
BAGUETTE,A,Z
SANDWICH COMPLET,A,Z
SPECIAL BREAD,A,Z
TRAITEUR,A,Z
GRAND FAR BRETON,A,Z
TARTELETTE,A,Z
CEREAL BAGUETTE,A,Z
VIK BREAD,A,Z
BRIOCHE,A,Z
CAMPAGNE,A,Z
GD KOUIGN AMANN,A,Z
BOULE 400G,A,Z
ECLAIR,A,Z
MOISSON,A,Z
SAND JB EMMENTAL,A,Z
COMPLET,A,Z
KOUIGN AMANN,A,Z
PAIN BANETTE,A,Z
DIVERS VIENNOISERIE,A,Z
FINANCIER X5,A,Z
PAIN,B,Y
BANETTINE,B,Y
CAFE OU EAU,B,Y
PAIN AUX RAISINS,B,Z
COOKIE,B,Z
TARTE FRUITS 6P,B,Z
TARTE FRUITS 4P,B,Z
COUPE,B,Z
BOULE 200G,B,Z
CROISSANT AMANDES,B,Z
PAIN CHOCO AMANDES,B,Z
DIVERS PATISSERIE,B,Z
CHAUSSON AUX POMMES,B,Z
BOISSON 33CL,B,Z
PARIS BREST,B,Z
SEIGLE,B,Z
TARTELETTE FRAISE,B,Z
BAGUETTE GRAINE,B,Z
PT NANTAIS,B,Z
PLAT 7.60E,B,Z
TARTE FRAISE 6P,B,Z
QUIM BREAD,B,Z
SPECIAL BREAD KG,B,Z
MILLES FEUILLES,B,Z
FLAN,B,Z
FICELLE,B,Z
TARTE FRAISE 4PER,B,Z
SACHET VIENNOISERIE,B,Z
FRAISIER,B,Z
DIVERS CONFISERIE,B,Z
FLAN ABRICOT,B,Z
GAL FRANGIPANE 4P,B,Z
NANTAIS,C,Z
GAL FRANGIPANE 6P,C,Z
ROYAL 6P,C,Z
GD FAR BRETON,C,Z
PLAT 8.30E,C,Z
GD NANTAIS,C,Z
TROPEZIENNE,C,Z
ROYAL 4P,C,Z
SAVARIN,C,Z
ROYAL,C,Z
NOIX JAPONAISE,C,Z
BOULE POLKA,C,Z
DIVERS SANDWICHS,C,Z
DIVERS BOULANGERIE,C,Z
FONDANT CHOCOLAT,C,Z
GAL POMME 4P,C,Z
PLAT 7.00,C,Z
GAL POMME 6P,C,Z
12 MACARON,C,Z
GACHE,C,Z
CHOU CHANTILLY,C,Z
DEMI BAGUETTE,C,Z
TARTE FINE,C,Z
MACARON,C,Z
PALET BRETON,C,Z
FRAMBOISIER,C,Z
ST HONORE,C,Z
SUCETTE,C,Z
RELIGIEUSE,C,Z
BAGUETTE APERO,C,Z
CARAMEL NOIX,C,Z
VIENNOISE,C,Z
PAIN S/SEL,C,Z
GRANDE SUCETTE,C,Z
SABLE F  P,C,Z
TRIANGLES,C,Z
DIVERS BOISSONS,C,Z
PAILLE,C,Z
BOTTEREAU,C,Z
SACHET DE CROUTON,C,Z
GAL POIRE CHOCO 4P,C,Z
DELICETROPICAL,C,Z
TARTELETTE CHOC,C,Z
ENTREMETS,C,Z
CHOCOLAT,C,Z
BROWNIES,C,Z
DEMI PAIN,C,Z
NID DE POULE,C,Z
PAIN DE MIE,C,Z
BRIOCHETTE,C,Z
TROPEZIENNE FRAMBOISE,C,Z
MERINGUE,C,Z
ECLAIR FRAISE PISTACHE,C,Z
